,review
21,"Apr 27, 2023HP Printers, app and customer service not fir for purposeBought an HP Envy 6000e for an elderly relative-thinking it would be simple and trouble free. Nothing could be further from the truth.Printer  was constantly stuck in offline mode. HP app worse than useless in solving. This is a known issue. Customer service from HP in UK in abysmal. The HP app makes it very difficult to cancel the ink subscription by deliberately hiding the cancel option. The app is slow, poorly written and buggy.HP used to be a flagship tech company which I generally trusted since the mid nineties onward.Not any more. HP are finished.Date of experience: December 03, 2022"
22,"May 6, 2023Disgraceful!The worst product and Customer Service I have ever received! The HP Envy 6020e broke down after only 12 days. This was bad enough, but what followed was disgraceful. The agent I spoke to took me through a 'fault finding' process which I had already done myself; with the same result - the printer was broken! Despite the fact that I was still within the ""18 day distance selling"" rules and the obvious fact the printer would not print, the agent refused my request for a new replacement. She told me HP only supply their refurbished printers, which I refused! When I asked for a refund, which, by Law I was entitled to, the agent refused this as well. Eventually the agent said that a Supervisor would telephone within an hour. More than a week later I am still waiting! Thankfully, I bought my product using PayPal, who gave me an instant refund. Why can't such a large, multinational company get even the basics right? When a printer breaks within the 12 months, which is part of the UK consumer rights act, just replace it. To consider sending a refurbished printer, particularly after only 12 days, is an insult to customers.Date of experience: April 18, 2023"
23,"May 3, 2023HP Technical Support AbysmalI bought a £900 HP ENVY X360 2-in-laptop 2 months ago but only  got round to using it recently... (I have 2 other laptops I use regularly and mostly wanted this one for photo-editing) Having set-it up I received notification of a windows 11 update so restarted it to install this but it didn't get beyond the HP logo... having done a hard restart I subsequently tried all possible advanced options including a factory reset, all to no avail... I contacted HP support (virtual assistant of course) using another laptop and after an hour of fruitless chat finally managed to get a contact for a live agent which is a US number! does anyone know of a UK support number I can use?Date of experience: May 03, 2023"
24,"May 6, 2023I bought a laptop direct from HP which…I bought a laptop direct from HP which needed repair twice at great expense in the end I sold it damaged for £100 after having it repaired once with Flextronics HP. Why would you leave impossible to remove stickers all over a laptop after repairing it? This was annoying. Needless to say I couldn't be bothered to repair the laptop the second time and had to sell it £100 after losing several hundred on the initial purchase and repair. It was a poor quality item that sustained unfortunate damage from a leaking roof which I can't really blame HP for however the second time the laptop became damaged I feel this was HP's fault because the repair wasn't conducted satisfactorily by Flextronics. It's a little confusing as to how a laptop could be damaged second time round and definitely a warranty issue but I was ignored and belittled by HP. I think I have learnt a lesson in transporting and handling high-value electronics nonetheless HP are not great a product. I wouldn't recommend HP for laptops.Date of experience: June 08, 2022"
25,"May 7, 2023rubbish printer, customer service rip offChanged wifi provider and the wifi printer will no longer work.  I have followed all the instructions to change wifi on the printer.  All you get from HP are useless webpages or an offer to sell ink.  I don't want ink i want someone to invest in their product and support so that it works.Now they want me to pay for support for a printer that is failing to work properly.  Build s!@t products and ask people to pay to fix them.  Genius business modelDate of experience: May 07, 2023"
26,"May 4, 2023Absolutely HopelessAbsolutely no way of contacting HP by phone to ascertain the cost of returning a faulty laptop for investigation. I so fed up of filling in forms, creating accounts, adding devices, all for nothing - there's no way to contact HP other than installing a useless diagnostics app which proves nothing. Based on this experience, I will never purchase another HP product and I can wholeheartedly recommend that if you're reading this, STAY AWAY FROM HP!Date of experience: May 04, 2023"
27,"Updated May 2, 2023Absolutely horrid companyAbsolutely horrid company.  You buy an expensive printer only to encounter one problem after another and their customer service is laughable.  First of all ,they hardly speak English . Furthermore, they told me that my drivers had collapsed and in order to get the printer working again ,I would have to pay $99 for a technician! So I asked a friend of mine ,who is NOT a computer expert, to have a look at it and within minutes he had the printer working again . Right now I am on the phone ,having asked to speak to a supervisor about the""technician's"" incompetence and I was told to wait ""2 short minutes "" After 19 minutes of waiting on the phone ,the line went dead . Never HP again .Date of experience: May 01, 2023"
28,"Apr 30, 2023computer keeps auto-shutting-down atleast once everydayMy computer keeps auto-shutting-down atleast once everyday specificaly it shuts down when the battery reaches 65%. Um thats not supposed to happen untill the battery reaches like 1%. I also can't turn it back on for 5 minutes after it shuts down.Date of experience: April 30, 2023"
29,"May 2, 20231 is miles too good for this shambles…1 is miles too good for this shambles of a company do not touch with a barge pole have laptop printer under warranty yet you cannot speak to anyone just an automated QADate of experience: May 02, 2023"
30,"Apr 26, 2023worst customer experience…I bought a printer less than 2 years ago.  My internet service provider upgraded my home wifi and now my printer isn't working.  I called HP support for help and they said it would cost me $20.  Unbelievable.Terrible terrible support.  Never buy an HP product again.Date of experience: April 26, 2023"
31,"Apr 22, 2023The most useless online troubleshooting I ever experienced!I am going to buy a Canon... Had an HP printer since the dawn of printing... you have gone down the drain... support inexistent, online support products do not work, your instruction to sort out things are incomprehensible (sometimes the ""buttons"" you say are to be pressed/selected do not even exist in the model you mention!) ... any reasons I should stick to HP? Can't find any! Pity... another company giving up on good products and support... I wonder who they hired recently!Date of experience: April 22, 2023"
32,"May 1, 2023smart-friend tech supportI called HP to find a solution for my Hp computer that was not booting up since all the ports was blocked during Linux installation. They charged me 65$ and I resolved the issue myself by asking questions! As the tech guy was not really aware of this issue. At the end, he told me its a hardware issue take it to best buy! I called other technicians and told the same story and they told me they need to see the hardware from beginning! So any expert level person will know that and I did not need to pay from beginning. They just wanted to sell the support subscription. No reimbursement after I told them, I was not happy with the service and the issue was not resolved.Date of experience: April 30, 2023"
33,"May 3, 2023HP is below ZERO at after serviceHP is below ZERO at after service! My daughter laptop melted due to a faulty component and they are sitting on my case for more than 4months, doing nothing! My house would have been on fire if I wouldn’t got home in time to see the keyboard melted.HP is not capable of sorting a matter after they sell the item. Case number for HP to check 5098797117Date of experience: May 03, 2023"
34,"May 5, 2023HP CanadaHP Canada - purchased a printer and signed up with Instant Ink …. Scam. Beware of this platform. My printer now does not work as it was deemed inoperable through the instant Ink app. HP Canada will not help !!Date of experience: May 05, 2023"
35,"May 5, 2023SCAMMED BY hp.com DON'T TRUST THEMI bought some Automatic Updating Software from hp.com on the 14th April, 2023.Billing Document 905753206HP sales order 0113048739Customer PO SCEO 18106229from hp.com (I'm assuming this is Hewlett-Packard?)IT ALL LOOKS OFFICAL doesn't it?Email from my hp.com contact EMEA.INVOICING at hp.comNo notification of my Software arriving!!!The Software is nowhere to be seen!!!I was having to Update Manually.Alarm Bells start ringing!!!!Emailed EMEA to inform and your EMAIL FAILS TO DELIVER?Requested a Refund, which I consider to be correct as the product is not fit for purpose.When on-line to check my Order, which was submitted but NOT RECOGNISED!!!!Spent over 1 hour trying to find the Complaints this morning at hp.com website - again,  no Complaint section to be found!I wanted to check that my Order with hp.com to ensure it was not a SCAM.As I have NOT been able to contact hp.com to find out!!  My Purchase must have been a SCAM?NOT UNLESS Hewlett-Packard can verify my Order and Contact me, I WOULD SAY I HAVE BEEN SCAMMED.  DON'T TRUST hp.comDate of experience: May 05, 2023"
36,"Apr 26, 2023Since the printers exist and this HP…Since the printers exist and this HP EXIST  I was trying to use printer HP, thinking that is also good as the laptops HP. WRONG.    Fighting with this cheep crap to hold it on, buying only original inks - I found there's not more than a half of this that they write you can print.       So from today NO MORE spending time with this thing HO PRINTER.    JUST NOW I gotta became a IT supporter to use this full with errors and not working printers.      If you want to loose your time, to develop yourself in programing mechanics and to spend money - buy PRINTER from HP.       There's a special place in HELL for the HP printers service companies.Date of experience: April 26, 2023"
37,"Apr 24, 2023Worst experience ever .Trying to get to…Worst experience ever .Trying to get to Speak to someone on my faulty laptop battery. When I did they could hardly speak making it really hard to communicate.  Will never buy HP online ever again or recommend to anyone.Date of experience: April 24, 2023"
38,"Updated May 1, 2023I had called TechI had called Tech. Support to ask for assistance related to a new printer that I had recently purchased. I had no problem printing out a test page, but when I tried to print out something from my email I received a dialog box telling me that the printer was not activated.After explaining my issues to the Tech. he said that he would be happy to help so I gave him remote access to repair my printing issues.After he had access to my computer he told me that the reason for my printing issue was due to the fact the my computer was infected with a Trojan Horse. I told him that I had anti-virus software; his response was anti-virus did not protect against Trojan Horse...  BS.... my computer is Windows, he said that only Apple computers protect against Trojan Horse; he must never have heard about Windows Defender.Anyway he tried to sell me anti-Trojan Horse software for get this $1,900.00 for a lifetime subscription..I told him no, and hung up.After the phone call I ran a complete scan on my computer.... Clean as a whistle.. Be very aware when considering calling HP for assistance.Oh, by the way, I was finally able to correct the issue myself.Date of experience: April 29, 2023"
39,"May 12, 2023Customer service from AngelloCustomer service from Angello, he really followed up with me. Super impressedDate of experience: May 11, 2023"
40,"Worse than one star, total waste of time. They did not cure the fault and most of the time I was being passed from one person to another and their advice merely helped me to locate the serial number of my printer ( not as easy as it sounds) and basically they helped me switch it on and off a few times! I paid just over £20 for this service!"
41,The worst company ever i payed 1300 $ for an hp envy that has a green screen everything is awful the service is pityfull avoiddddddd
42,"purchase brand new hp laptop through Best Buy online. worked great, then audio and microphone went bye bye!! called support, after working with my laptop for few hours, trying this that and the other thing, nothing changed!! they finally were persuaded to send me a new copy of windows to install!! As that was their solution my bios was corrupt. Yeah right. Ran my own diagnostic programs and low and behold once my drivers for audio and microphone was reinstalled/updated they worked fine!! Thought they were knowledgeable!! Wrong.!!"
43,"I just hate hp products i just hate it. Four months ago i buy hp envy 360 but now it's not working they changed my mother board then also nothing going to happen. I called hp support daily just fuc*** it's service no one will going to help. Laptop is not working only single thing in it is useless as it's screen is making weird sound as does in old tv also color got changed. In every two minutes it's shutting down automatically. It's over it's damaged fully in just four months and when I called to hp support they cut the call, ignore every different person tell something differently. All are fake. Just want to grab money,, plz it's too expensive i want justice or take strict action against hp for providing fuc** things and not helping plzzzzzz @jantaI m experiencing it since one month nothing happens yet"
44,The customer service was just awful for our agency... What a shame...
45,Spoke to Hedi from HP technical support who was very helpful and sorted out my issue straight away. Thank you!!
46,AVOID HP AT ALL COSTS. GO TO YOUR LOCAL CURRYS STOREHaving chosen an all singing all dancing laptop i was persuaded to order from yourselves with the promise 2/3 days maximum.19th on van for delivery20th on van for delivery21st on van for deliverywhere is it???? not here and now i m told on a Friday it may be Monday...Patronising staff who just ask if i want it cancelling?  NO i want the computer ordered... absolute fail on delivery and customer serviceDO NOT BUY HP PRODUCTS DIRECTLY FOLKS.....
47,"I recently purchased an HP laptop for work. It was unplugged too long and the battery died completely. HP support was able to fix it remotely through web chat. Their tech was so helpful and thorough. even called next day- a Saturday, to follow up. That's service worth reviewing."
48,"Avoid them...at least the printers....You have to register to use it, insanely unstable and overall an extremely bad experience"
49,The worst costumer support I have ever had. I have an desktop computer that  is from 2009. The first time I called the guy told me to recycle it and there is no way I can use it the second guy complained that I am calling the second time. I ended up fixing it myself even though they said there is no point int tying to fix it and I should trow the computer away.
50,A TOTAL WASTE OF TIME HP.COM FAULTY…A TOTAL WASTE OF TIME HP.COM FAULTY LAPTOP WITH HINGE ISSUES AND NOW OTHER ISSUES ALL I WANT IS A NEW REPLACEMENT YOU ARE QUICK ENOUGH TO TAKE FUNDS YET FAIL TO OFFER HELP JUST IGNORE MAIL EMAILS MESSAGES
51,"@HP MIS SELLING EXTENDED WARRANTIES- replacing items with used refurbished items - NBD replacement delivery non existent and a joke of an apology, waking a carer up after 3 hours sleep when told email contact only , 2weeks of horrendous customer service - AVOID HP.COM"
52,HP laser printer MFP178nw failed in less than a year of light domestic use. Several phone calls and email exchanges with technical support over 7 weeks and problem still not fixed. Tried two new image rollers but did not solve the probelm. Sent me a refurbished printer - filthy on the inside with black toner dust and obviously hadn't been properly tested before being shipped as that did not work either.
53,"Glad to see HP is doing anything they can to annoy every single customer they have. After trying their dreadful instant ink, I had the pleasure to try to use their printer. Before I had issues with Instant ink locking me out despite having a subscription. Then it kept  disconnecting. I went though their stupid website and virtual assistant that wasted my time for about one hour. I then resorted to YOUTUBE and I found a video that told me how to reset my wireless (how amazing, a random guy on youtube managed to do a better job than the customer service of a multimillion company). I reset the device and when trying to reconnect it...surprise surprise...I am not allowed because it is still linked to their stupid instant ink. And I cannot remove it from instant ink (of course errors all the time...). The hilarious thing is that the printer was actually good and fast. Shame is delivered by this company. Would love to know who is the genius that devised such a stupid system...deserves a promotion as master clown....bottom line, I gave up and returned the printer and gone for another brand run by normal people...."
54,anyone who purchases an HP printer nowadays needs their head examined. They extort money from you by the monopoly they have on their super-expensive ink. Software updates regularly to prevent 3rd party ink cartridges being used. Problems when using AirPrint regularly. Printer not being recognised. Just garbage products and bad HP management. Just look at the negative and 1 * reviews. No backup. Zero useful support. I'm done with HP products forever now.
55,THEY CONTROL YOUR PRINTER AND YOU CANNOT USE IT AT ALL WITHOUT THEIR HORRIBLE LIFE LONG COMMITMENT TO THEIR INK SUPPLIER; YOU CANNOT USE YOUR PRINTER YOU PURCHASE UNTIL YOU GO THRU THEIR STUPID CALL CENTERS TO THE INSTA INK CO AND PURCHASE MORE INK WHETHER YOU NEED IT OR NOT. THEY TURN YOUR PRINTER OFF CONTINUOUSLY; YOU CANNOT USE IT AT ALL. WORST PRINTER IVE EVER PURCHASED BELOW ZERO ON RECOMMENDATION DO NOT BUY THESE GARBAGE MACHINES
56,Delinquent unacceptable standards. Make no mistake this company is very conniving and fraudulent. They have capability to impair your printer and ink cartridges remotely. Buy one of this and you'll be taken for an expensive ride.My understanding is that HP stand for hot poo and nothing more.STAY WELL AWAY !!!
57,"I purchased a £800 HP pavilion  pc when I came to register my product I found guarantee had expired before I even unpacked it. It starts when it leaves the factory. Rediculous. You've got to then dispute warranty through there site , which for a novice is impossible to navigate through. So I gave up.most companies register products from day you receive them .HP are con merchants .do not waste your money on there products."
58,"I have been a customer of HP for years but today your product (printer) has wind me up. For 2 days I have been trying to print 1 document, I registered it, I joined it to my network and done update but it would not print from word. Kept saying pdf quicker so I converted and still nothing.The Hp assist was temperamental at best until it failed to even load up.The printer is now trash, you need to do better not only with products but your help support.Lastly why is it so hard to find an email address rather than talking to a robot via chat"
59,"Absolutely shocking.  Waited nearly 1 HOUR to reach the sales ""advice"" line.  Trying to spend over £1k on a  replacement laptop. The previous HP x360 having exploded when the hinge severed wires holding the screen to the keyboard. On putting my pretty basic question to the ""advisor"" regarding the current hinge design of HP x360 laptops, (given this is a known issue),  he said ""I'm only a sales advisor, I don't know.  Try Tech support"". Tech support is only available if you have a serial number of an existing machine. Fortunately, I have already returned the dead laptop (to another retailer who is not an HP specialist).  So I have no serial number to enter. Calling this service ""sales advice"" is madness. The arrogant, rude, uneducated man (""Sean""), then told me he'd spent 10 minutes on the call and HUNG UP on me. Do not give your money to this company."
60,"My experience with HP printer 4100 is very bad, it does not connect , so basically never works. Money wasted. So poor customer service I have called 3 times, once was ok the guy tried very hard. Today was a customer service useless and rude, he was criticizing my English and arrogant as he told just blaming my internet."
61,"Avoid purchasing a HP sprocket. At best it is an overpriced gimmick except in this instance the initial purchase is not inexpensive then you have the delight of the over-inflated consumables. If that was all it was, well caveatemptor but the quaity of the device and connectivity is terrible. I've printed less than 20 pictures and now the power supply is knackered and HP suggested buying a new one. Avoid"
62,"I recently purchased a new HP printer. I called support to help set it up with my computer. He took over my computer and proceeds to tell me everything wrong with it and how the drivers and security needs updated. Bottom line would not help me unless I bought a 3 year plan (almost $400) to protect my computer from hackers. I wasted 45 minutes with this person I just wanted a simple way to have my printer set up to my computer and got a sales pitch., and I can't help you unless you pay almost $400 for a plan. absolutely no help at all,"
63,"Wish I'd read these review before purchasing! While the HP Instant Ink service works well, the connectivity issues on the printer, especially for scanning, are terrible. The printer used to crash every time I tried to scan something, but at least a reboot made it work. Now, it just doesn't want to connect to the service and I can't use it at all. Very frustrating. Try something else first!!"
64,I tried calling HP support to complain about my HP All In One Desktop computer wireless dongle for the mouse and keyboard. I called the number after submitting the background information online. I called the number several times. I was either disconnected or received a recorded message that the line is temporarily unavailable. Poor support.
65,"I bought an HP Deskjet printer model 3712 from Currys a couple if years ago. Compared to an old Canon I have the HP printer is garbage. Barely use able. After hours of trying to connect it to a laptop or a mobile phone it very occasionally works. The HP Smart app does not recognise it most of the time. I think it could be to do with it wireless connections being poorly setup on the device. When trouble shooting all it does is print pages of information, over and over again. Should not have been sold in the first place. My first and last HP product. Seems to fare better when connected to an iPad  that's about it"
66,"Owned a few HP printers over the years. Always problems with connections, print jobs that don't come through and now today, after just buying WAY TOO EXPENSIVE INKT CARTRIGDES suddenly black stopped working. Do yourself a favour and never buy one of their products."
67,Takes so much time . Why do I have to contact HP support for my Case updates why don't they send me instead?????
68,"Because of HP's on-line salespeople, their incompetence and out right lying, I don't have a computer and I don't have my money. They pushed my ship date back several weeks or later! I have tried numerous times to cancel the order, but they keep saying that I must wait until I receive the computer and then send it back. They are not returning my money, even though they still have the computer (at their factory) in their possession. I placed my order on March 21st and was guaranteed delivery on or before April 5th. Then I received an email that my delivery would be April 15th or later, they cannot guarantee a specific ship date. I must wait until after this nebulous timeline for them to even begin to process my refund. I have NEVER encountered such blatant disregard for customer care. What a horrible company HP turned out to be. I will NEVER purchase another HP again! What appalling customer service!"
69,"Having purchased two HP laptops prevuiosly, I was happy to use them again as my last one (7 years old) was sounding like a bag of spanners and kept snoozing. I had a look at the choice in a local electrical goods store and chose a HP Chromebook. The store was £100 more expensive so I purchased it fron the HP online store. It arrived within the allotted time.The keyboard is easy to use and responds well (I had to thump my last one but it was old!)I also purchased a HP printer around 12 years ago...it's still going strong but the ink is dearer than the printer originally cost so that is going into retirement soon and an alternative will be used.I have no complaint with this company and have found them extremely reliable and of good value"
70,"Terrible specs for the price. I bought a $600 laptop that only has a 3000mAh battery which was claimed as 'All day battery' when in reality it will only last about 3 or 4 hours less if you are doing intensive tasks. Specs are terrible with only 8gb of ram & 512gb of storage. HP is a terrible company that sells flawed and overpriced computers i will never buy another one from them. Their support is also atrocious, i submitted a ticket to them about an issue and even 6 months later I didn't get a single response from them."
71,"I jumped through hoops to get a customer service person on chat.I spent half an hour trying to get specs, and good explanations from this person.He knew next to nothing, and was pretty much useless.thanks Pradeep.Dont waste your time"
72,If you subscribe to the instant Ink program don’t assume you can go to a retailer & buy HP ink for your printer. They will continue to charge you every month for pages printed & not send you ink. If you complain there is no way you will get a credit in fact they sent a message to my printer that I was using unauthorized ink & I can not print anything.
73,Huge mistake buying HP laptop and extended warranty! Machine failures as soon as warranty ends. Trying to find parts information to replace failed parts is almost impossible. I have spent several hours trying to track down the part information to replace the battery. This should be fairly simple. Every other computers I have owned provide online resources for replacement parts.Obviously it is part of their strategy to force consumers to have repairs done only by HP. Just another act of greed. Kill greed!
74,Horrible customer support. Called them to ask some questions about printers and customer support couldn't tell me absolutely anything. I gave them certain models to look at and still couldn't give me more information. I found more info on youtube and google.
75,"When buying an HP OfficeJet 3831 I got enrolled on the Ink Subscription. First time I needed I was sent both black & colour cartridges which worked perfectly, more recently I was sent just 1 black cartridge which doesn’t work. I contacted them 4 weeks ago and not had any response. I would not buy from them again, new laptop I bought 3 months ago thankfully isn’t one of theirs."
76,"If I could rate it a zero, I would. Completely useless support. I bought a new HP all in one printer b/c they could not trouble shoot my old one. I have been unable to connect the new one to the internet and thus can""t scan from the printer. I have contacted HP support on THREE different occasions. Each time I am put on hold, transferred at least 3 times and then disconnected. It is impossible to deal with these people. NEVER AGAIN will I purchase an HP product!!!!!"
77,"This must be the worse customer services ever experienced. I purchased a laptop, which was faulty. Then received a replacement which was also faulty – which is both bizarre and questionable. Then I asked for return/refund as both were within 14 days. One laptop collected and one has STILL not been collected which was meant to be on 23/3 and despite emailing the CEO (also nonresponsive) I have been passed from pillar to post between post sales and tech support - causing untold calls and still no resolution. The services are dire, and it is not surprising their rating is so poor. They take the money quickly enough and treat customers with complete disrespect and am appalled at how they presume this is acceptable.Please DO NOT ever buy any of their products and avoid at all costs."
78,Sent my laptop in for repair 01/06/2023 it’s almost April. The technicians sent my laptop to another customer and it’s now being investigated. I haven’t been able to work from home due to my laptop being going for repair and I’m unable to buy another laptop due to the 500 was just spent out to HP for the laptop I only had 2 months! I will NEVER buy anything from them EVER again and will be filing a small claim in court to get my merchandise
79,"Ordered a laptop and it took almost 3-4 weeks for final delivery. Seems when you order, they send the information to a factory in China, then they build your laptop and then ship to the US. The slowest form of delivery I have ever seen for any purchase. Might as well buy it directly from China."
80,"HP sells laptops do not support docking stations for multiple displays. Technical support will waste your for week a week, tell you to purchase an HP docking station that doesn't work, before finally admitting the USB C port doesn't work. Then they'll charge you a 15% restocking fee. I will never purchase HP anything ever again"
81,After a horrendous computer experience with dell I bought an HP printer and had a problem setting it upA third party tech company HP use contacted me and said my computer neede a new licence (a lie) costing 300 pounds fo 5 years (the printer was about 60 pounds)They told me it was essential - i paid 100 pounds for a one year licence as I needed the printer urgently but then found it was a case of mis-selling and i had entered into a maintenance contract - requests for copy paperwork were ignoredNumerous emauls were ignoredThe only easaon I am not taking Court action is I live in Scotland and the case would require to be raised in England NEVER BUY HP KIT!!
82,"I have a laptop, purchaced at PCWorld, for years, and I have a nerve incident each time!! They have ""their own"" folders, if you save a file from the internet it doesn't go in ""My documents"", I tried to save a file (my P45 from 4 years ago from a website), it is just not there!! I tried to move between Downloads and Documents... FFS, that's a mission!  I am wondering why the space on my hard drive disappears???? Outrageous!! Just am attempt to ""create"" something different from any other IT company... NO! just make things easy!!!"
83,"I just purchased an go pavilion 15 and opening up it wanted an update. As soon as it finished it wiped out the wifi driver and I have spent 3 days wasting my time with their customer service support. I have been asked to pay for a usb drive$40 to fix it which I refused and they have sent me on purpose to every department (accounting, tech support 1, 2.  This is absolutely ridiculous.  I need this resolved today for an important conference in Monday and they could care less about it. I spent 3 hrs on hold today.  They promised a call back.  It has been 3 hrs and nothing.  I cannot believe HP considers this good customer relations"
84,I just bought this printer. After opening the box I realised it is much bigger than I have space for. It seems to handle A3 paper I just need A4. I immediately called HP to change it for a smaller one. I was informed the HP customer policy did not allow for a return nor a swop to another model . Be absolutely sure what you buy or buy from a company with a more customer oriented policy.
